"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		159",부산,2020-06-01,3.6,7.6,200,15:18,10.5,180,15:16
"		159",부산,2020-06-02,3.7,8.1,230,19:26,13.9,250,19:25
"		159",부산,2020-06-03,4.6,7.7,250,0:04,11.6,250,0:50
"		159",부산,2020-06-04,4.3,6.9,230,3:29,10.5,230,2:27
"		159",부산,2020-06-05,2.2,5.5,270,0:24,8.9,270,0:19
"		159",부산,2020-06-06,2.7,4.3,50,12:21,9.6,20,12:51
"		159",부산,2020-06-07,2.5,4.8,110,12:20,8.4,110,13:02
"		159",부산,2020-06-08,1.6,3.9,180,16:26,5.2,180,21:19
"		159",부산,2020-06-09,1.8,5.2,180,12:12,6.9,200,7:45
"		159",부산,2020-06-10,2.4,5.2,230,20:40,8.6,250,20:33
"		159",부산,2020-06-11,2.9,5.6,200,3:44,9.2,180,3:52
"		159",부산,2020-06-12,3,6.5,180,17:01,10.5,200,19:56
"		159",부산,2020-06-13,2.3,6.1,230,23:04,8,230,22:54
"		159",부산,2020-06-14,5.1,10,250,15:24,15.8,200,12:17
"		159",부산,2020-06-15,3,6.2,250,12:00,10.7,250,1:27
"		159",부산,2020-06-16,2.7,5.6,90,13:45,9.5,90,13:08
"		159",부산,2020-06-17,1.9,4.5,180,18:06,6.7,180,18:05
"		159",부산,2020-06-18,2.6,4,320,0:52,8.4,20,13:02
"		159",부산,2020-06-19,3,5.3,70,13:11,10.2,20,12:01
"		159",부산,2020-06-20,2.5,4.3,110,13:26,7.2,90,13:24
"		159",부산,2020-06-21,2.7,4,70,10:34,8.5,70,12:08
"		159",부산,2020-06-22,1.8,4.2,200,16:22,5.7,200,15:59
"		159",부산,2020-06-23,1.9,3.5,180,11:10,5.3,20,23:38
"		159",부산,2020-06-24,2.3,5.3,140,22:23,10.4,110,21:57
"		159",부산,2020-06-25,3.1,5.7,230,11:52,9.1,230,11:12
"		159",부산,2020-06-26,3.8,7.4,180,14:45,10,270,9:31
"		159",부산,2020-06-27,2,5.3,270,1:29,8.5,270,0:08
"		159",부산,2020-06-28,2.1,4.7,180,13:31,7.6,180,13:27
"		159",부산,2020-06-29,2.7,7.2,90,22:10,14.2,110,22:28
"		159",부산,2020-06-30,7.9,13,230,6:08,21.9,200,1:09
"		159",부산,2020-07-01,3.3,6.7,180,13:28,9.9,270,0:45
"		159",부산,2020-07-02,2,4,110,15:21,7.2,90,15:15
"		159",부산,2020-07-03,2.8,3.9,50,15:01,9.9,70,16:01
"		159",부산,2020-07-04,2.1,3.6,50,6:07,7.3,50,1:29
"		159",부산,2020-07-05,2.2,6.1,180,13:18,7.4,180,13:10
"		159",부산,2020-07-06,1.7,5.5,230,23:09,8.7,230,23:03
"		159",부산,2020-07-07,4.4,8.1,230,13:35,12.2,230,13:27
"		159",부산,2020-07-08,2.5,5.2,200,12:01,8.6,340,3:39
"		159",부산,2020-07-09,2.1,3.5,70,17:08,7.2,50,16:59
"		159",부산,2020-07-10,2.4,6.1,230,16:18,9.5,250,16:17
"		159",부산,2020-07-11,2.6,4.6,50,23:50,8.7,50,23:47
"		159",부산,2020-07-12,2.7,4.4,70,21:42,10.7,90,21:47
"		159",부산,2020-07-13,2.7,6,70,12:15,11.4,50,4:04
"		159",부산,2020-07-14,1.5,3.2,50,10:03,5.6,20,9:59
"		159",부산,2020-07-15,2,3.9,50,10:39,6.8,20,10:17
"		159",부산,2020-07-16,2.3,4.6,110,10:50,7.5,140,12:33
"		159",부산,2020-07-17,2.6,4.6,110,13:03,8.1,90,12:37
"		159",부산,2020-07-18,2.3,4.2,110,15:39,6.6,110,15:34
"		159",부산,2020-07-19,3.1,8.1,200,20:54,12.8,200,23:35
"		159",부산,2020-07-20,7.1,13.2,230,8:07,19.9,230,7:59
"		159",부산,2020-07-21,2.8,5.5,180,17:41,8.2,180,17:34
"		159",부산,2020-07-22,1.3,2.9,50,6:05,4.9,20,5:59
"		159",부산,2020-07-23,2.5,4.8,50,20:29,9.9,50,17:55
"		159",부산,2020-07-24,5.6,9.9,230,13:00,14.6,230,13:01
"		159",부산,2020-07-25,3.6,7,200,1:08,10.4,180,1:08
"		159",부산,2020-07-26,3,5.1,180,12:18,7.6,270,6:26
"		159",부산,2020-07-27,1.8,3.5,90,15:49,7.1,90,15:45
"		159",부산,2020-07-28,1.5,2.4,90,13:22,3.9,50,11:03
"		159",부산,2020-07-29,1.2,3.2,200,18:47,4.9,200,18:44
"		159",부산,2020-07-30,2.8,7,50,12:38,14.2,340,12:31
"		159",부산,2020-07-31,2.5,4.5,180,16:04,7.3,320,10:08
"		159",부산,2020-08-01,3.7,6.8,200,15:33,9.7,200,15:25
"		159",부산,2020-08-02,4.4,8.1,230,23:30,12.2,200,23:32
"		159",부산,2020-08-03,5.3,7.8,200,13:08,12.8,230,13:14
"		159",부산,2020-08-04,5,9.1,230,14:02,13.7,230,11:50
"		159",부산,2020-08-05,5.1,8,200,12:07,12.1,200,11:54
"		159",부산,2020-08-06,7.2,13.4,230,6:57,21.3,230,7:13
"		159",부산,2020-08-07,4.2,10.1,230,15:24,15.7,230,15:11
"		159",부산,2020-08-08,5.8,11.1,230,2:41,21.7,230,0:53
"		159",부산,2020-08-09,7.1,11.8,230,0:44,17.7,200,0:44
"		159",부산,2020-08-10,5.1,13.3,230,16:46,20.9,230,16:39
"		159",부산,2020-08-11,5.2,12.1,230,0:23,18.5,230,0:18
"		159",부산,2020-08-12,3.5,9,230,14:36,15.9,200,14:28
"		159",부산,2020-08-13,4.7,7.9,230,20:30,11.9,230,20:33
"		159",부산,2020-08-14,5.7,9.3,230,17:43,13.5,230,17:39
"		159",부산,2020-08-15,4,7,180,13:33,9.9,270,23:45
"		159",부산,2020-08-16,4.5,6.6,270,4:33,9.9,270,1:03
"		159",부산,2020-08-17,2.5,5,180,14:52,8.1,340,8:10
"		159",부산,2020-08-18,2.4,5.3,200,13:36,7.3,200,13:28
"		159",부산,2020-08-19,3.4,7,180,16:05,9.1,200,15:50
"		159",부산,2020-08-20,2.3,5.5,320,6:35,8.1,320,6:28
"		159",부산,2020-08-21,2.6,4.4,110,13:45,8,50,23:34
"		159",부산,2020-08-22,2.6,4.3,90,13:48,8,50,12:26
"		159",부산,2020-08-23,2.2,4.7,180,12:06,6.8,180,12:26
"		159",부산,2020-08-24,1.9,5,180,15:34,6.7,180,12:30
"		159",부산,2020-08-25,2.1,3.8,50,23:18,7.4,50,23:05
"		159",부산,2020-08-26,4,8.4,110,12:30,14.4,110,12:30
"		159",부산,2020-08-27,4.3,9.6,230,3:59,15.1,200,3:51
"		159",부산,2020-08-28,3,6.1,230,19:12,9.9,180,23:01
"		159",부산,2020-08-29,3.1,8.7,230,1:01,14.2,250,0:52
"		159",부산,2020-08-30,2.4,4.1,180,11:25,7.6,50,22:50
"		159",부산,2020-08-31,3.5,5.4,50,9:50,12.1,70,19:47
"		",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
